Time,ff4_hf_orig,ff4_hf_disc_w_rhod=1,sp500_hf_orig,sp500_hf_disc_w_rhod=1
01-Oct-2004,0,0,0,0
01-Nov-2004,-0.00999,-0.00999,0.08411,0.08411
01-Dec-2004,-0.005,-0.005,0.05833,0.05833
01-Jan-2005,0,0,0,0
01-Feb-2005,0,0,0.00504,0.00504
01-Mar-2005,0.01,0.01,-0.28511,-0.28511
01-Apr-2005,0,0,0,0
01-May-2005,0.01,0.01,0.32116,0.32116
01-Jun-2005,0.015,0.015,-0.42657,-0.42657
01-Jul-2005,0,0,0,0
01-Aug-2005,-0.01,-0.01,0.23399,0.23399
01-Sep-2005,0.03,0.03,-0.12166,-0.12166
01-Oct-2005,0,0,0,0
01-Nov-2005,0,0,0.24188,0.24188
01-Dec-2005,-0.005,-0.005,0.48448,0.48448
01-Jan-2006,0.025,0.025,-0.28159,-0.28159
01-Feb-2006,0,0,0,0
01-Mar-2006,0.03,0.03,-0.64595,-0.64595
01-Apr-2006,0,0,0,0
01-May-2006,0.035,0.035,-0.15511,-0.15511
01-Jun-2006,-0.025,-0.025,0.49365,0.49365
01-Jul-2006,0,0,0,0
01-Aug-2006,-0.035,-0.035,-0.26456,-0.26456
01-Sep-2006,0,0,-0.24016,-0.24016
01-Oct-2006,-0.005,-0.005,-0.03989,-0.03989
01-Nov-2006,0,0,0,0
01-Dec-2006,-0.005,-0.005,0.28273,0.28273
01-Jan-2007,-0.005,-0.005,0.52273,0.52273
01-Feb-2007,0,0,0,0
01-Mar-2007,-0.01501,-0.01501,0.88763,0.88763
01-Apr-2007,0,0,0,0
01-May-2007,0.005,0.005,-0.1418,-0.1418
01-Jun-2007,0,0,-0.28916,-0.28916
01-Jul-2007,0,0,0,0
01-Aug-2007,-0.025,-0.01,-0.95973,-3.27086
01-Sep-2007,-0.17,-0.17,1.33054,1.33054
01-Oct-2007,0.03,0.03,-0.44209,-0.44209
01-Nov-2007,0,0,0,0
01-Dec-2007,0.03,0.03,-1.59674,-1.59674
01-Jan-2008,-0.255,-0.38,-0.16869,-1.09309
01-Feb-2008,0,0,0,0
01-Mar-2008,0.19,0.305,-1.05246,-0.97157
01-Apr-2008,-0.075,-0.075,0.31143,0.31143
01-May-2008,0,0,0,0
01-Jun-2008,0.015,0.015,0.10337,0.10337
01-Jul-2008,0,0,0,0
01-Aug-2008,-0.03,-0.03,0.10375,0.10375
01-Sep-2008,0.12,0.12,-0.76838,-0.76838
01-Oct-2008,-0.05999,-0.06998,-2.61509,-3.34986
01-Nov-2008,0,0,0,0
01-Dec-2008,-0.18501,-0.18501,1.71037,1.71037
01-Jan-2009,0,0,-0.09395,-0.09395
01-Feb-2009,0,0,0,0
01-Mar-2009,-0.01,-0.01,1.5276,1.5276
01-Apr-2009,0.005,0.005,0.75174,0.75174
01-May-2009,0,0,0,0
01-Jun-2009,0,0,-0.50384,-0.50384
01-Jul-2009,0,0,0,0
01-Aug-2009,-0.005,-0.005,-0.25911,-0.25911
01-Sep-2009,-0.015,-0.015,0.63447,0.63447
01-Oct-2009,0,0,0,0
01-Nov-2009,-0.00999,-0.00999,0.07677,0.07677
01-Dec-2009,-0.005,-0.005,-0.09519,-0.09519
01-Jan-2010,0,0,0.0819,0.0819
01-Feb-2010,0,0,0,0
01-Mar-2010,-0.01,-0.01,0.18716,0.18716
01-Apr-2010,-0.01,-0.01,0.20239,0.20239
01-May-2010,0,0,0,0
01-Jun-2010,0,0,0.34373,0.34373
01-Jul-2010,0,0,0,0
01-Aug-2010,0,0,0.69335,0.69335
01-Sep-2010,0.005,0.005,0.62964,0.62964
01-Oct-2010,0,0,0,0
01-Nov-2010,0.005,0.005,-0.48747,-0.48747
01-Dec-2010,0,0,0.00883,0.00883
01-Jan-2011,-0.005,-0.005,-0.05857,-0.05857
01-Feb-2011,0,0,0,0
01-Mar-2011,0,0,0.28501,0.28501
01-Apr-2011,-0.005,-0.005,0.14414,0.14414
01-May-2011,0,0,0,0
01-Jun-2011,-0.005,-0.005,0.09572,0.09572
01-Jul-2011,0,0,0,0
01-Aug-2011,-0.005,-0.005,-0.89025,-0.89025
01-Sep-2011,0.02,0.02,-0.26924,-0.26924
01-Oct-2011,0,0,0,0
01-Nov-2011,0.01,0.01,-0.15528,-0.15528
01-Dec-2011,0,0,-0.75199,-0.75199
01-Jan-2012,0,0,0.34102,0.34102
01-Feb-2012,0,0,0,0
01-Mar-2012,0,0,-0.05568,-0.05568
01-Apr-2012,0,0,-0.04978,-0.04978
01-May-2012,0,0,0,0
01-Jun-2012,0.01,0.01,-0.0517,-0.0517
01-Jul-2012,0,0,0,0
01-Aug-2012,0.015,0.015,-0.01087,-0.01087
01-Sep-2012,0.02,0.02,0.5984,0.5984
01-Oct-2012,-0.005,-0.005,-0.05795,-0.05795
01-Nov-2012,0,0,0,0
01-Dec-2012,0,0,0.38377,0.38377
01-Jan-2013,0,0,-0.0604,-0.0604
01-Feb-2013,0,0,0,0
01-Mar-2013,0.005,0.005,0.09572,0.09572
01-Apr-2013,0,0,0,0
01-May-2013,0,0,0.14757,0.14757
01-Jun-2013,0.005,0.005,-0.05759,-0.05759
01-Jul-2013,0,0,0.46186,0.46186
01-Aug-2013,0,0,0,0
01-Sep-2013,0,0,1.21777,1.21777
01-Oct-2013,0,0,-0.33014,-0.33014
01-Nov-2013,0,0,0,0
01-Dec-2013,0.005,0.005,1.6648,1.6648
01-Jan-2014,0,0,-0.45282,-0.45282
01-Feb-2014,0,0,0,0
01-Mar-2014,0,0,-0.17357,-0.17357
01-Apr-2014,0,0,0.02448,0.02448
01-May-2014,0,0,0,0
01-Jun-2014,0,0,0.33186,0.33186
01-Jul-2014,0,0,0.40578,0.40578
01-Aug-2014,0,0,0,0
01-Sep-2014,0,0,0.27313,0.27313
01-Oct-2014,0.01,0.01,-0.35665,-0.35665
01-Nov-2014,0,0,0,0
01-Dec-2014,-0.005,-0.005,0.79783,0.79783
